Heading,Link,Summary,Date
"NIIT launches big data training centre in Guiyang City, China",http://economictimes.indiatimes.com/industry/services/education/niit-launches-big-data-training-centre-in-guiyang-city-china/articleshow/56425407.cms,"In May 2016, NIIT entered into strategic agreements with Guiyang Municipal Government and Guizhou Professional College of Electronics in Gui'An New District.","Jan 9, 2017, 08:41 PM IST"
"IIT Madras websites hacked, institute says ""examining"" issue",http://economictimes.indiatimes.com/industry/services/education/iit-madras-websites-hacked-institute-says-examining-issue/articleshow/56253028.cms,"""The institute is examining the vulnerabilities that led to the hacking of the auxiliary sites and is taking steps to address them,"" the institute said in a release.","Dec 30, 2016, 02:29 PM IST"
A busy 2016 for HRD ministry,http://economictimes.indiatimes.com/industry/services/education/a-busy-2016-for-hrd-ministry/articleshow/56289920.cms,"After Vemula's suicide, Opposition parties gunned for the removal of Irani. Vemula's family said he was a Dalit and the incident gave the Opposition ammunition to attack the Centre in Parliament.","Jan 2, 2017, 12:36 PM IST"
Former principal Valson Thampu blames 'mediocre' teachers for St Stephen's poor ranking,http://economictimes.indiatimes.com/industry/services/education/former-principal-valson-thampu-blames-mediocre-teachers-for-st-stephens-poor-ranking/articleshow/56317804.cms,"Despite being among the most sought after colleges in the country, the NAAC ranking of St Stephen's college has fallen below that of Zakir Hussain college and Acharya Narendra Dev college.","Jan 3, 2017, 09:40 PM IST"
Mahindra Comviva forays into mobile-based corporate learning with PalmLeaf,http://economictimes.indiatimes.com/industry/services/education/mahindra-comviva-forays-into-mobile-based-corporate-learning-with-palmleaf/articleshow/56350540.cms,The company said the aim behind releasing this service is to address all staff learning requirements of modern-day corporations.,"Jan 5, 2017, 01:22 PM IST"
MBBS pass outs may have to clear NEXT to practice: draft bill,http://economictimes.indiatimes.com/industry/services/education/mbbs-pass-outs-may-have-to-clear-next-to-practice-draft-bill/articleshow/56258375.cms,"The health ministry has published the draft bill - named the Indian Medical Council (Amendment) Bill, 2016 - on its website and has sought feedback from public till January 6.","Dec 30, 2016, 07:46 PM IST"
"Samsung sets up ""smart class"" in 373 Navodaya schools",http://economictimes.indiatimes.com/industry/services/education/samsung-sets-up-smart-class-in-373-navodaya-schools/articleshow/56358300.cms,"Every such smart class is equipped with an interactive Samsung Smartboard, Samsung laptops/tablet, a printer, Wi-Fi connectivity and power backup.","Jan 5, 2017, 08:17 PM IST"
IIT Kharagpur to take CSR route to generate more funds,http://economictimes.indiatimes.com/industry/services/education/iit-kharagpur-to-take-csr-route-to-generate-more-funds/articleshow/56372212.cms,IIT Kharagpur to organise a day-long event -- 'IIT KGP CSR' conclave -- on January 10 in its campus.,"Jan 6, 2017, 01:53 PM IST"
Government plans rules to regulate playschools soon,http://economictimes.indiatimes.com/industry/services/education/government-plans-rules-to-regulate-playschools-soon/articleshow/56326656.cms,WCD minister Maneka Gandhi said that the guidelines were an important step towards regulating early childhood care centres operating in the form of playschools in the private sector.,"Jan 4, 2017, 10:47 AM IST"
Great Indian Knowledge Initiatives to open six schools across Kerala,http://economictimes.indiatimes.com/industry/services/education/great-indian-knowledge-initiatives-to-open-six-schools-across-kerala/articleshow/56356171.cms,Sajiv Menon said the primary campus of the first school will be opened this month in Kannur.,"Jan 5, 2017, 06:44 PM IST"
"At 100, UVCE wants to be single but 2 suitors vie for it",http://economictimes.indiatimes.com/industry/services/education/at-100-uvce-wants-to-be-single-but-2-suitors-vie-for-it/articleshow/56327237.cms,"Started in 1917 by Sir M Visvesvaraya, the UVCE is a constituent college under Bangalore University (BU) and counts some of India's finest scientists as alumni.","Jan 4, 2017, 11:27 AM IST"
"CBSE, State government nominees to be part of school head selection panels",http://economictimes.indiatimes.com/industry/services/education/cbse-state-government-nominees-to-be-part-of-school-head-selection-panels/articleshow/56107658.cms,"According to the CBSE circular, the Governing body of the CBSE in its meeting yesterday has ratified some amendments in affiliation byelaws.","Dec 21, 2016, 10:15 PM IST"
"NEET in 8 languages including Gujarati, Assamese, Tamil",http://economictimes.indiatimes.com/industry/services/education/neet-in-8-languages-including-gujarati-assamese-tamil/articleshow/56107695.cms,"Also, the candidate qualifying NEET will be eligible for all India quota and other quotas under the State governments and Institutes irrespective of the medium taken by candidates, subject to other eligibility criteria, the Union Health Ministry said in a statement.","Dec 21, 2016, 10:17 PM IST"
