Heading,Link,Summary,Date
"Demonetisation Move: Boon for multiplexes, bane for small screens",http://economictimes.indiatimes.com/industry/media/entertainment/demonetisation-move-boon-for-multiplexes-bane-for-small-screens/articleshow/55361804.cms,"Experts believe that with improvement in digital infrastructure and mobile wallets such as Paytm and MobiKwik, things will improve fast.","Nov 11, 2016, 01:04 AM IST"
China's Dalian Wanda Group eyes controlling stake in PVR Cinemas,http://economictimes.indiatimes.com/industry/media/entertainment/chinas-dalian-wanda-group-eyes-controlling-stake-in-pvr-cinemas/articleshow/53970409.cms,At least four people aware of the transaction said the Dalian Wanda Group has begun diligence on PVR’s books as a prelude to making a formal buyout offer.,"Sep 2, 2016, 02:59 AM IST"
Mukta Arts launches multiplex in Bahrain,http://economictimes.indiatimes.com/industry/media/entertainment/mukta-arts-launches-multiplex-in-bahrain/articleshow/54330506.cms,It boasts of a state of the art sound system with 3D technology and projection along with Dolby Atmos and Quantum Logic 3D surround sound screens.,"Sep 14, 2016, 05:39 PM IST"
"DLF exits cinema business, sells 7 screens to Cinepolis for Rs 64 crore",http://economictimes.indiatimes.com/industry/media/entertainment/dlf-exits-cinema-business-sells-7-screens-to-cinepolis-for-rs-64-crore/articleshow/53982829.cms,DLF Ltd had in May entered into an amended agreement to sell its 32 screens of DT cinemas to multiplex operator PVR at a revised consideration of Rs 433 crore.,"Sep 3, 2016, 03:17 AM IST"
Amazon stitching content deals for possible Diwali launch of Prime Video,http://economictimes.indiatimes.com/industry/media/entertainment/amazon-stitching-content-deals-for-possible-diwali-launch-of-prime-video/articleshow/54554614.cms,"Sources have confirmed to ET that Amazon is in final lap of negotiations with Yash Raj Films, Mukesh Bhatt-owned Vishesh Films, and Salman Khan Films.","Sep 28, 2016, 03:42 AM IST"
Balaji Telefilms may put film business on hold after recent failures,http://economictimes.indiatimes.com/industry/media/entertainment/balaji-telefilms-may-put-film-business-on-hold-after-recent-failures/articleshow/53903312.cms,"While Sameer Nair, group CEO of Balaji Telefilms, said there are no plans to shut operations, he agreed the company will rethink and take more prudent calls.","Aug 29, 2016, 03:56 AM IST"
Disney India to exit from Hindi film production business,http://economictimes.indiatimes.com/industry/media/entertainment/disney-india-to-exit-from-hindi-film-production-business/articleshow/53865976.cms,"Source in the company added that while many names are floating in media on the likely successor to Kapur, Abhishek Maheshwari —who currently heads consumer products","Aug 26, 2016, 04:40 AM IST"
Indian films' box office collection to be $3.7 billion in 2020,http://economictimes.indiatimes.com/industry/media/entertainment/indian-films-box-office-collection-to-be-3-7-billion-in-2020/articleshow/54508341.cms,"The Indian film industry is the largest in the world in terms of number of films produced with 1,500-2,000 films produced every year in more than 20 languages.","Sep 25, 2016, 03:13 PM IST"
Sony Pictures and China's Wanda enter film partnership,http://economictimes.indiatimes.com/industry/media/entertainment/sony-pictures-and-chinas-wanda-enter-film-partnership/articleshow/54478331.cms,"The movie deal, Wanda's first with one of Hollywood's so-called ""Big Six"" studios, is a major milestone for the conglomerate.","Sep 23, 2016, 12:44 PM IST"
Multiplex operator Inox Leisure plans to invest Rs 200 crore,http://economictimes.indiatimes.com/industry/media/entertainment/multiplex-operator-inox-leisure-plans-to-invest-rs-200-crore/articleshow/53851730.cms,"The total capital expenditure that we intend to incur on this pipeline at least for 2016-17 is roughly Rs 200 crore, which would be funded essentially by 60:40 debt equity.","Aug 25, 2016, 03:44 AM IST"
ZEE acquires UAE’s oldest radio station Hum FM,http://economictimes.indiatimes.com/industry/media/entertainment/zee-acquires-uaes-oldest-radio-station-hum-fm/articleshow/54580938.cms,"This now enables ZEE provide an extensive media solution to its partners through television, radio and digital media.","Sep 29, 2016, 01:32 PM IST"
