Heading,Link,Summary,Date
HRD turns down PMO idea on accreditation,http://economictimes.indiatimes.com/industry/services/education/hrd-turns-down-pmo-idea-on-accreditation/articleshow/55080674.cms,The HRD ministry’s proposal is that inspection of institutes for accreditation — may be outsourced to a consortium of IITs and IIMs.,"Oct 27, 2016, 01:00 AM IST"
"Supreme Court closes deemed university case, HRD seeks legal opinion",http://economictimes.indiatimes.com/industry/services/education/supreme-court-closes-deemed-university-case-hrd-seeks-legal-opinion/articleshow/55103122.cms,"ET has learnt that the HRD ministry, treading cautiously, has now sought clarity from the Law ministry on what are the implications of the court ruling.","Oct 28, 2016, 01:15 AM IST"
Number of disabled attending schools rose 11% in 10 years,http://economictimes.indiatimes.com/industry/services/education/number-of-disabled-attending-schools-rose-11-in-10-years/articleshow/55161359.cms,"About 8.0 lakh - 12.1% - of the total disabled youngsters, attended educational institutions earlier and 17.5 lakh - 26.7%- never attended any educational institutions.","Oct 31, 2016, 08:38 PM IST"
Teachers should not be engaged in non-academic activities: CBSE to schools,http://economictimes.indiatimes.com/industry/services/education/teachers-should-not-be-engaged-in-non-academic-activities-cbse-to-schools/articleshow/55152971.cms,"Schools affiliated to CBSE should ensure that teachers should not be engaged in activities other than those related to direct teaching, professional upgradation, examination, etc.","Oct 31, 2016, 02:58 PM IST"
"Arunachal Pradesh asks private varsities to follow UGC, AICTE norms",http://economictimes.indiatimes.com/industry/services/education/arunachal-pradesh-asks-private-varsities-to-follow-ugc-aicte-norms/articleshow/55224427.cms,"The instruction came during a review meeting on the functioning of private varsities in the state which was chaired by Education Minister Honchun Ngandam here yesterday, an official release informed.","Nov 3, 2016, 03:54 PM IST"
IITs to conduct entrance exams in Kathmandu: President Pranab Mukherjee,http://economictimes.indiatimes.com/industry/services/education/iits-to-conduct-entrance-exams-in-kathmandu-president-pranab-mukherjee/articleshow/55231511.cms,Mukherjee also said that India recognises the importance of water resources in the accelerated development in Nepal for which post-graduate scholarships for courses in hydel power and water resources management at IIT,"Nov 3, 2016, 10:42 PM IST"
Happy placements for IITs this December?,http://economictimes.indiatimes.com/industry/services/education/iits-placement-december-campus-job/articleshow/55217526.cms,"Seasoned companies have taken the PPO route this year, the ones that had earlier hired students as interns and now want them on the rolls.","Nov 3, 2016, 08:41 AM IST"
Panel suggests no MCQs for class XII board exams,http://economictimes.indiatimes.com/industry/services/education/panel-suggests-no-mcqs-for-class-xii-board-exams/articleshow/55189077.cms,"It is learnt that the panel, in its suggestions submitted some months back, said open book exams may not be considered at class XII level.","Nov 1, 2016, 09:40 PM IST"
10 of 20 IIMs are without directors,http://economictimes.indiatimes.com/industry/services/education/10-of-20-iims-are-without-directors/articleshow/54992531.cms,"What's shocking is that in case of all the 10 IIMs, the Union HRD ministry has been sitting on the names shortlisted by the searchcum-selection committees for over six months now.","Oct 22, 2016, 10:24 AM IST"
IIT Madras to set up centre on automotive research,http://economictimes.indiatimes.com/industry/services/education/iit-madras-to-set-up-centre-on-automotive-research/articleshow/54960695.cms,IIT Madras had signed the letter of intent with Fraunhofer Institute IWU Germany for its proposal to set up the Applied Centre for Advanced Automotive Research.,"Oct 20, 2016, 07:13 PM IST"
No need for prior sanction to engage foreign faculty in IITs,http://economictimes.indiatimes.com/industry/services/education/no-need-for-prior-sanction-to-engage-foreign-faculty-in-iits/articleshow/54965356.cms,The ministries have agreed that such clearances should be limited for faculty chosen from Prior Requirement Countries.,"Oct 20, 2016, 11:50 PM IST"
Class 10 board exams likely to return from 2018,http://economictimes.indiatimes.com/industry/services/education/class-10-board-exams-likely-to-return-from-2018/articleshow/54968861.cms,The announcement is likely to be made by HRD minister Prakash Javadekar on October 25 and will be his first major decision after taking over as HRD minister in early July.,"Oct 21, 2016, 07:58 AM IST"
"Education loses lustre for Indians on Brexit, tough laws",http://economictimes.indiatimes.com/industry/services/education/education-loses-lustre-for-indians-on-brexit-tough-laws/articleshow/54905909.cms,"From almost 55,000 students two to three years ago, the number of UK-bound students has dropped to 10,000 as they choose other countries for graduation.","Oct 17, 2016, 11:53 PM IST"
"NCERT director denies comment on 'no detention' policy, ET stands by report",http://economictimes.indiatimes.com/industry/services/education/ncert-director-denies-comment-on-no-detention-policy-et-stands-by-report/articleshow/54901679.cms,The NCERT today issued a press statement saying that “NCERT Director Dr. Hrushikesh Senapathy has denied that while speaking to the Economic Times representative he supported the UPA government’s ‘no detention’ policy or opposed the proposal to scrap it by the present NDA government”.,"Oct 17, 2016, 08:28 PM IST"
